participant_number,communication_medium,communicator_candidate,agree_with_communicator,own_political_views,how_strongly,evaluator_candidate,trump,kasich,clinton,sanders,cruz,competent,thoughtful,emotional,likable,experience1_pleasure,experience2_pain,agency1_self_control,agency2_remembering,agency3_planning,agency4_self_aware,humanization1_refined_cultured,humanization2_impulsive,humanization2_reverse_impulsive,humanization3_rational,humanization4_open_minded,humanization5_unsophisticated,humanization5_reverse_unsophisticated,humanization6_emotional_warm,humanization7_superficial,humanization7_reverse_superficial,humanization8_mechanical,humanization8_reverse_mechanical,humanization9_mindless,humanization9_reverse_mindless,humanization10_developed_adult,humanization11_animal_less_than_human,humanization11_reverse_animal_less_than_human,humanization12_warm_friendly,similarity_to_you,positive_impression,negative_impression,reverse_negative_impression,persuasion1_belief_change,persuasion2_how_persuasive,persuasion3_how_hard_think,persuasion4_how_rational,human_uniqueness_scale,human_nature_scale,experience_scale,agency_scale,persuasion_scale,gender,age,easy_to_understand,time_spent_on_stimulus,memory_score
21,1,3,1,2,5,3,1,0,3,6,0,6,6,4,5,2,2,2,2,3,3,2,-3,3,2,2,-3,3,0,-1,1,-2,2,-3,3,3,-3,3,2,5,6,0,6,1,4,6,6,2.67,1.67,2,2.5,4.25,1,30,6,195.602,1.5
22,2,3,1,2,4,4,0,3,6,5,3,4,4,3,4,0,0,0,0,0,0,0,-1,1,0,0,-1,1,0,-1,1,1,-1,1,-1,-1,-2,2,0,1,3,3,3,0,1,4,4,0.5,-0.17,0,0,2.25,2,50,5,213.741,1
23,2,2,0,6,6,5,2,2,0,1,4,4,4,0,2,1,1,1,1,1,1,-1,1,-1,0,0,0,0,-1,-1,1,0,0,0,0,0,0,0,-1,6,6,4,2,0,0,3,2,-0.33,-0.17,1,1,1.25,2,40,6,54.382,1.5
24,3,3,0,3,4,3,1,2,2,2,1,3,4,3,3,0,0,0,0,0,0,-1,-3,3,0,0,0,0,0,-2,2,-1,1,-2,2,1,-3,3,0,2,3,1,5,0,2,3,4,1,0.83,0,0,2.25,2,30,5,36.954,1.25
25,4,1,1,2,1,3,3,5,2,6,4,4,0,2,1,3,-1,-2,1,2,0,0,3,-3,-1,1,-3,3,-3,-1,1,3,-3,0,0,0,-3,3,-2,1,3,5,1,2,0,0,4,0.33,-1,1,0.25,1.5,1,23,5,4.799,1
26,2,1,0,2,4,3,0,2,2,6,1,3,4,2,4,0,0,0,0,0,0,1,-1,1,1,1,0,0,0,-1,1,0,0,-1,1,0,0,0,0,3,4,2,4,0,1,2,4,0.5,0.5,0,0,1.75,1,54,4,113.613,2
27,2,1,0,1,5,3,0,1,4,5,1,6,5,2,3,0,-1,2,1,1,-1,-1,-2,2,1,0,-1,1,0,-1,1,1,-1,0,0,1,-2,2,0,2,4,1,5,2,3,4,4,1,0,-0.5,0.75,3.25,1,36,5,151.347,1.5
28,3,3,1,1,5,3,0,0,0,6,0,6,6,5,6,2,2,3,3,2,2,2,-3,3,3,3,-2,2,2,-3,3,-3,3,-3,3,3,-3,3,2,6,6,0,6,0,6,5,6,2.67,2.67,2,2.5,4.25,1,28,6,44.838,1.25
29,1,1,0,3,0,6,0,0,0,1,0,4,4,1,2,1,0,2,2,1,1,2,-2,2,2,1,1,-1,-2,-1,1,0,0,-1,1,2,-2,2,-1,2,4,1,5,2,2,5,5,1.5,0,0.5,1.5,3.5,1,29,3,143.665,1.5
30,4,4,1,1,4,4,5,0,6,1,0,2,3,4,2,0,0,-1,2,0,-1,-2,1,-1,1,-1,2,-2,1,0,0,-2,2,-1,1,-2,-2,2,-1,0,2,4,2,0,0,2,2,-0.67,0.33,0,0,1,1,50,6,23.382,2
31,3,3,1,1,5,3,0,1,5,5,0,5,5,5,5,0,0,0,0,0,0,0,0,0,1,1,-2,2,0,-2,2,-2,2,-2,2,-3,-3,3,0,4,5,1,5,1,1,5,5,0.5,1.17,0,0,3,2,40,5,57.289,1.5
32,1,1,0,1,4,3,0,1,3,6,0,4,4,4,5,0,0,1,0,2,0,-1,0,0,1,0,1,-1,-1,-1,1,-2,2,-1,1,2,-2,2,0,3,4,2,4,4,4,5,4,0.5,0.5,0,0.75,4.25,2,27,5,121.901,1.25
33,4,3,1,4,5,6,4,0,2,5,1,5,5,4,5,0,0,1,0,1,0,-1,-2,2,2,2,0,0,1,-1,1,-2,2,-2,2,3,-3,3,1,2,5,1,5,1,5,6,5,1.5,1.5,0,0.5,4.25,1,27,5,54.61,1.5
34,1,3,0,6,6,5,4,3,0,0,6,2,2,4,2,0,1,0,-1,-1,-1,-2,0,0,-3,1,2,-2,0,1,-1,-1,1,0,0,0,-2,2,0,0,2,4,2,0,0,2,0,-0.83,0.17,0.5,-0.75,0.5,1,19,5,102.078,1.5
35,4,1,0,1,4,3,0,1,5,6,1,2,5,4,5,0,0,1,-1,-1,1,-1,0,0,1,1,1,-1,1,-2,2,-2,2,-1,1,0,-2,2,2,2,5,1,5,0,4,5,5,0.17,1.5,0,0,3.5,1,28,6,48.619,1.75
36,2,1,0,1,5,4,0,2,5,2,2,4,5,4,5,1,1,1,2,2,2,2,-2,2,2,2,1,-1,1,-1,1,-2,2,-2,2,2,-3,3,2,4,5,1,5,4,5,2,5,1.67,1.67,1,1.75,4,2,28,5,72.86,1
37,1,3,1,1,5,3,0,0,4,6,0,5,6,3,5,0,0,2,0,2,0,1,-3,3,2,2,-2,2,2,-3,3,-2,2,-2,2,3,-3,3,2,4,6,0,6,1,5,5,6,2.33,2.17,0,1,4.25,1,33,6,192.143,1.75
38,3,1,1,5,5,1,1,5,2,5,1,5,5,3,6,0,0,1,1,1,0,0,-3,3,1,2,0,0,1,-2,2,-3,3,-3,3,2,-3,3,2,4,5,1,5,0,4,5,4,1.5,2.17,0,0.75,3.25,1,60,5,50.948,2
39,4,2,0,4,4,3,0,6,0,5,0,2,4,4,3,0,0,0,0,0,0,-2,0,0,0,2,1,-1,0,-1,1,-1,1,-3,3,3,-3,3,0,3,3,0,6,0,3,3,6,0.5,1.17,0,0,3,2,51,6,6.653,2
40,3,1,0,1,4,4,0,2,4,1,1,5,5,4,5,2,-2,1,2,2,2,2,0,0,1,2,-1,1,-1,-1,1,-2,2,-2,2,3,-3,3,1,4,4,0,6,3,3,4,4,1.67,1.17,0,1.75,3.5,1,35,5,59.336,1.5
41,1,1,0,4,4,2,6,0,0,3,1,5,5,4,4,0,0,0,-1,1,1,0,-3,3,1,2,-3,3,0,-1,1,-2,2,-2,2,-3,-3,3,0,1,4,1,5,0,1,6,5,1.17,1.17,0,0.25,3,2,18,5,142.286,1.75
42,1,4,1,1,1,6,0,0,4,4,0,5,5,6,6,0,0,0,0,0,0,0,-3,3,2,2,-3,3,2,-3,3,-3,3,-3,3,2,-3,3,2,5,6,0,6,0,4,4,6,2.17,2.5,0,0,3.5,2,41,6,103.564,1.75
43,1,1,0,2,5,3,0,0,0,6,0,3,3,4,4,0,0,0,0,0,0,-1,-3,3,0,0,0,0,1,-1,1,1,-1,-1,1,0,-3,3,0,3,4,3,3,0,0,1,3,0.83,0.33,0,0,1,1,28,5,68.679,1.5
44,3,3,0,4,4,2,6,1,2,0,5,2,4,3,2,2,0,-2,-1,-2,3,-3,-1,1,-2,2,2,-2,2,2,-2,-2,2,1,-1,-1,-1,1,1,0,3,4,2,0,0,4,1,-1,0.67,1,-0.5,1.25,1,48,2,120.383,0.5
