participant_number,communication_medium,communicator_candidate,agree_with_communicator,own_political_views,human_uniqueness_scale,human_nature_scale,gender,age
191,2,4,0,1,0.17,0.17,1,24
192,2,1,1,3,2.17,2.33,1,63
193,3,3,0,4,-0.33,0.17,2,57
194,2,3,1,1,2,2.5,2,60
195,1,3,0,5,-1.17,-0.5,1,57
196,4,2,1,5,-0.33,1.67,2,57
197,1,3,1,3,-0.67,0.83,1,49
198,2,1,0,5,0,0,2,42
199,1,1,0,0,1.33,0,2,43
200,1,1,0,1,1.83,1.5,1,41
201,3,1,0,2,1.67,2,2,30
202,4,1,0,3,0.17,-0.17,1,31
203,2,3,1,0,0.17,0.83,2,24
204,4,1,0,1,1.67,1.5,1,34
205,2,2,0,1,-0.83,-0.33,2,32
206,1,3,0,5,2,0.83,1,28
207,4,3,0,4,0.5,0.5,1,26
208,4,1,0,1,1.67,1.83,2,65
209,1,1,0,4,1.83,2.33,1,39
210,4,3,0,5,2.67,2.17,2,46
211,2,3,1,1,0,0,1,31
212,4,2,1,5,-0.33,0.5,1,26
213,3,1,0,4,1.67,1.17,1,39
214,4,1,0,1,-0.67,-1.33,2,37
215,3,1,1,2,0.83,0.83,1,28
216,1,1,0,0,0.17,-0.17,1,42
217,4,4,1,3,0,0,1,28
218,3,4,0,5,-0.5,-0.5,2,36
219,3,2,0,2,-1.33,-1,1,71
220,3,3,1,2,0,0,2,20
221,2,1,0,1,0.67,0.33,1,33
222,2,3,1,0,2.33,2.67,2,28
223,4,1,0,1,0,0,1,36
224,3,3,0,5,-1.17,0.5,2,21
225,3,1,0,0,-0.33,-0.33,1,53
226,3,3,0,3,-2.67,-1.17,1,54
227,2,1,1,2,2.17,2,1,47
228,3,1,0,1,0.5,0,2,24
229,4,1,0,4,1,0.5,1,53
230,3,1,0,1,1.5,1.83,2,28
231,3,3,1,2,1,1,2,23
232,2,2,0,4,1,1,2,34
233,2,3,0,6,-1.5,-0.5,1,30
234,3,3,1,2,2.5,2.5,1,35
235,1,4,0,2,1.5,2.67,2,37
236,4,3,0,3,-0.83,-0.17,2,36
237,2,3,1,3,0.33,0.17,2,22
238,3,2,0,2,-0.17,0.5,1,39
239,2,1,0,2,1.17,1,2,32
240,2,1,0,0,-0.33,0.17,2,27
