ID,Mode,Ephemerality,gender,age_1,Stimulus,ClickCount,FirstClick,LastClick,PageSubmit,RecommendationFollowed
349,DisappearingVisual,1,2,37,brownies,1,5.678,5.678,6.853,1
350,DisappearingVisual,1,2,37,hotel,1,0.587,0.587,2.5,1
351,DisappearingVisual,1,2,37,shampoo,1,1.896,1.896,2.94,1
352,DisappearingVisual,1,2,37,toaster,1,3.751,3.751,6.744,1
353,PermanentVisual,0,1,46,brownies,1,3.985,3.985,6.193,1
354,PermanentVisual,0,1,46,hotel,2,1.955,3.944,6.253,1
355,PermanentVisual,0,1,46,shampoo,1,2.166,2.166,4.601,1
356,PermanentVisual,0,1,46,toaster,1,4.895,4.895,7.106,1
357,Auditory,1,2,28,brownies,1,5.61,5.61,14.518,1
358,Auditory,1,2,28,hotel,2,10.892,19.964,22.095,0
359,Auditory,1,2,28,shampoo,1,7.668,7.668,8.938,0
360,Auditory,1,2,28,toaster,2,9.189,10.414,13.247,0
361,PermanentVisual,0,2,49,brownies,1,11.389,11.389,12.709,1
362,PermanentVisual,0,2,49,hotel,5,7.061,36.826,37.696,0
363,PermanentVisual,0,2,49,shampoo,1,18.5,18.5,21.073,1
364,PermanentVisual,0,2,49,toaster,17,3.306,35.024,36.091,0
365,Auditory,1,1,21,brownies,1,2.905,2.905,4.354,1
366,Auditory,1,1,21,hotel,2,2.975,5.395,9.915,1
367,Auditory,1,1,21,shampoo,1,3.57,3.57,8.595,1
368,Auditory,1,1,21,toaster,1,2.776,2.776,4.799,1
369,DisappearingVisual,1,2,64,brownies,1,4.589,4.589,11.854,1
370,DisappearingVisual,1,2,64,hotel,1,8.927,8.927,36.872,1
371,DisappearingVisual,1,2,64,shampoo,1,4.979,4.979,11.276,1
372,DisappearingVisual,1,2,64,toaster,1,19.495,19.495,27.868,1
373,PermanentVisual,0,2,50,brownies,2,12.586,13.875,14.697,1
374,PermanentVisual,0,2,50,hotel,3,34.902,39.704,40.977,1
375,PermanentVisual,0,2,50,shampoo,1,31.171,31.171,31.874,0
376,PermanentVisual,0,2,50,toaster,1,32.075,32.075,34.467,1
377,PermanentVisual,0,2,29,brownies,1,1.935,1.935,2.852,1
378,PermanentVisual,0,2,29,hotel,1,2.183,2.183,7.779,1
379,PermanentVisual,0,2,29,shampoo,1,3.791,3.791,7.53,1
380,PermanentVisual,0,2,29,toaster,1,2.487,2.487,3.987,1
381,Auditory,1,2,22,brownies,1,0.311,0.311,1.369,0
382,Auditory,1,2,22,hotel,2,2.227,4.101,5.664,0
383,Auditory,1,2,22,shampoo,0,0,0,0.558,0
384,Auditory,1,2,22,toaster,0,0,0,15.272,1
385,DisappearingVisual,1,2,70,brownies,1,16.975,16.975,21.636,0
386,DisappearingVisual,1,2,70,hotel,1,5.906,5.906,9.219,1
387,DisappearingVisual,1,2,70,shampoo,1,15.732,15.732,21.672,1
